Frame,Tempo_Inferenza_ms,Confidenza_Media
289,18.09,0.0000
290,17.50,0.0000
291,17.40,0.0000
292,21.67,0.0000
293,19.60,0.0000
294,16.97,0.0000
295,16.86,0.0000
296,18.08,0.0000
297,23.39,0.0000
298,19.51,0.0000
299,21.44,0.0000
300,22.42,0.3082
301,21.08,0.0000
302,17.83,0.0000
303,17.45,0.0000
304,17.03,0.0000
305,17.06,0.0000
306,17.42,0.4626
307,19.57,0.5345
308,17.47,0.5308
309,16.74,0.4942
310,16.50,0.4736
311,16.62,0.3557
312,18.11,0.0000
313,24.19,0.0000
314,23.39,0.0000
315,18.23,0.0000
316,17.96,0.0000
317,19.63,0.0000
318,29.08,0.0000
319,24.76,0.0000
320,16.83,0.0000
321,17.32,0.0000
322,25.60,0.0000
323,17.05,0.0000
324,17.69,0.3484
325,17.73,0.0000
326,16.95,0.0000
327,17.20,0.0000
328,17.93,0.0000
329,19.57,0.0000
330,17.39,0.0000
331,16.45,0.0000
332,16.56,0.0000
333,16.75,0.0000
334,23.11,0.0000
335,16.49,0.0000
336,26.30,0.3717
337,17.15,0.4968
338,16.58,0.4517
339,19.83,0.0000
340,16.96,0.0000
341,16.75,0.0000
342,18.98,0.0000
343,17.10,0.3566
344,17.05,0.3441
345,18.66,0.5440
346,26.65,0.6267
347,16.73,0.5775
348,16.48,0.5220
349,16.53,0.3609
350,17.65,0.3441
351,16.66,0.4406
352,22.93,0.3158
353,17.74,0.8086
354,19.12,0.0000
355,18.10,0.0000
356,25.50,0.0000
357,26.13,0.3063
358,16.51,0.0000
359,16.50,0.4390
360,26.09,0.6260
361,22.25,0.0000
362,18.02,0.0000
363,17.73,0.3250
364,19.44,0.0000
365,16.40,0.0000
366,16.48,0.0000
367,18.66,0.0000
368,16.42,0.0000
369,17.87,0.0000
370,16.34,0.0000
371,17.79,0.0000
372,23.72,0.0000
373,18.96,0.0000
374,16.71,0.0000
375,26.95,0.4147
376,16.96,0.0000
377,16.41,0.0000
378,24.34,0.0000
379,17.84,0.3519
380,17.11,0.3517
381,18.34,0.4682
382,19.63,0.5712
383,22.41,0.4352
384,22.98,0.3799
385,16.41,0.4467
386,16.62,0.4587
387,19.27,0.3417
388,16.48,0.0000
389,16.68,0.3221
390,18.18,0.3775
391,16.72,0.4327
392,19.09,0.4342
393,22.70,0.3672
394,17.60,0.4041
395,20.23,0.3513
396,16.57,0.5959
397,32.80,0.6237
398,16.36,0.6346
399,16.44,0.5306
400,18.84,0.6038
401,16.53,0.6513
402,17.15,0.6542
403,17.44,0.6578
404,18.34,0.6217
405,18.32,0.6569
406,34.20,0.6277
407,17.68,0.4638
408,17.99,0.4321
409,18.13,0.4763
410,17.10,0.4757
411,17.32,0.4152
412,19.25,0.5006
413,18.61,0.4473
414,18.98,0.4272
415,39.17,0.4299
416,20.51,0.4167
417,42.17,0.3942
418,43.63,0.3454
419,39.77,0.3921
420,50.48,0.4018
421,42.56,0.4365
422,54.64,0.4382
423,80.59,0.3036
424,55.30,0.0000
425,33.31,0.0000
426,55.24,0.0000
427,37.03,0.0000
428,45.53,0.0000
429,50.59,0.0000
430,59.95,0.0000
431,47.86,0.3106
432,45.41,0.3457
433,50.84,0.3887
434,65.96,0.3820
435,51.33,0.3584
436,52.91,0.3238
437,54.31,0.3728
438,33.02,0.3346
439,34.23,0.0000
440,32.97,0.3035
441,45.81,0.3226
442,30.97,0.3392
443,29.24,0.3332
444,33.21,0.3188
445,42.41,0.3168
446,30.21,0.0000
447,71.64,0.0000
448,34.37,0.0000
449,34.61,0.4132
450,42.45,0.3880
451,41.19,0.4342
452,62.01,0.4283
453,49.91,0.3031
454,52.78,0.0000
455,51.47,0.0000
456,51.55,0.0000
457,39.40,0.0000
458,32.77,0.0000
459,115.51,0.0000
460,29.34,0.4003
461,32.62,0.3851
462,28.85,0.3764
463,36.02,0.4037
464,44.73,0.4042
465,62.61,0.3012
466,27.58,0.3130
467,37.25,0.3589
468,58.80,0.3397
469,37.20,0.3711
470,36.78,0.3715
471,43.65,0.3768
472,59.53,0.4317
473,33.37,0.3876
474,40.36,0.3647
475,52.17,0.4005
476,52.88,0.4106
477,40.53,0.3799
478,44.80,0.4430
479,35.42,0.4337
480,59.02,0.3568
481,51.97,0.3660
482,43.23,0.3629
483,46.09,0.4529
484,36.21,0.3837
485,47.36,0.3187
486,27.44,0.3560
487,31.69,0.3946
488,28.63,0.3952
489,35.93,0.3766
490,29.47,0.4320
491,27.58,0.4164
492,41.00,0.4315
493,28.01,0.5068
494,32.08,0.4869
495,96.38,0.4939
496,30.20,0.5186
497,33.70,0.4492
498,32.76,0.3855
499,35.46,0.4147
500,30.10,0.4078
501,51.89,0.3265
502,32.87,0.0000
503,32.10,0.4485
504,32.75,0.0000
505,39.19,0.0000
506,39.85,0.0000
507,32.28,0.0000
508,30.14,0.3060
509,32.68,0.3085
510,33.03,0.3081
511,38.79,0.3266
512,48.16,0.3006
513,92.82,0.3252
514,37.74,0.0000
515,40.13,0.0000
516,88.76,0.0000
517,78.65,0.3338
518,59.11,0.3207
519,35.23,0.3178
520,34.99,0.3260
521,47.86,0.3604
522,33.76,0.0000
523,32.87,0.0000
524,33.69,0.0000
525,58.08,0.0000
526,53.63,0.0000
527,28.34,0.4913
528,58.22,0.4440
529,52.22,0.3686
530,60.13,0.3744
531,52.83,0.4647
532,50.08,0.5122
533,53.98,0.5231
534,45.41,0.5230
535,43.31,0.6234
536,43.63,0.6189
537,38.52,0.5171
538,92.91,0.5668
539,47.95,0.5366
540,52.80,0.5287
541,61.33,0.5244
542,58.66,0.5628
543,43.84,0.4407
544,52.75,0.4358
545,41.29,0.4518
546,55.23,0.5356
547,56.74,0.5358
548,51.76,0.5541
549,38.64,0.5127
550,52.79,0.6067
551,42.99,0.5393
552,57.10,0.5779
553,45.95,0.5691
554,45.90,0.5699
555,58.77,0.5827
556,50.98,0.5980
557,48.61,0.6052
558,51.90,0.6237
559,59.17,0.6381
560,58.25,0.6460
561,49.28,0.6226
562,40.95,0.6255
563,35.52,0.6260
564,43.45,0.5305
565,87.09,0.4429
566,46.02,0.4587
567,52.55,0.5480
568,48.66,0.5558
569,39.69,0.5419
570,62.15,0.5419
571,56.94,0.6091
572,56.34,0.5980
573,42.56,0.6408
574,48.81,0.6340
575,48.39,0.5201
576,50.95,0.5486
577,50.22,0.5617
578,85.66,0.5585
579,57.82,0.4711
580,55.39,0.6587
581,54.21,0.5708
582,62.77,0.5281
583,58.85,0.5965
584,84.83,0.5891
585,59.40,0.5795
586,57.18,0.6757
587,55.84,0.6513
588,56.17,0.6336
589,57.41,0.5756
590,53.25,0.5604
591,40.73,0.5247
592,51.35,0.5156
593,35.26,0.5634
594,60.80,0.4211
595,44.28,0.4994
596,51.12,0.4997
597,44.34,0.4788
598,48.44,0.3214
599,32.78,0.4473
600,72.89,0.4743
601,43.49,0.5455
602,43.38,0.5565
603,117.20,0.4552
604,43.34,0.5117
605,32.47,0.5238
606,31.11,0.5551
607,37.71,0.5573
608,50.99,0.5551
609,46.37,0.5524
610,43.87,0.4850
611,29.99,0.5147
612,43.67,0.5014
613,36.26,0.3877
614,33.90,0.3901
615,48.30,0.4116
616,37.41,0.4042
617,30.44,0.3855
618,45.33,0.4567
619,35.69,0.3842
620,37.03,0.3766
621,46.08,0.5159
622,38.37,0.5254
623,36.34,0.5511
624,37.29,0.5767
625,38.36,0.5462
626,42.87,0.5144
627,38.27,0.5665
628,44.42,0.5384
629,39.11,0.4606
630,32.63,0.4729
631,43.24,0.5088
632,38.16,0.5036
633,49.18,0.4577
634,50.66,0.4682
635,37.59,0.4875
636,32.52,0.5379
637,41.31,0.4495
638,36.34,0.4553
639,50.61,0.4309
640,48.23,0.4198
641,51.02,0.3843
642,41.53,0.3891
643,59.72,0.3943
644,30.00,0.3929
645,28.22,0.4763
646,35.74,0.5553
647,38.34,0.5494
648,33.17,0.5624
649,32.50,0.5746
650,63.53,0.5803
651,27.22,0.5418
652,40.64,0.5376
653,39.75,0.5175
654,47.40,0.4772
655,51.46,0.4808
656,47.57,0.4865
657,45.35,0.4654
658,38.34,0.4506
659,35.99,0.4894
660,54.30,0.5025
661,53.71,0.4515
662,50.34,0.4556
663,46.47,0.4202
664,58.36,0.4222
665,75.05,0.4741
666,72.72,0.5078
667,49.09,0.4619
668,39.76,0.4360
669,77.11,0.5735
670,52.90,0.4709
671,55.47,0.4783
672,66.33,0.3496
673,46.32,0.3486
674,54.73,0.3280
675,63.42,0.5299
676,51.16,0.5242
677,56.02,0.4552
678,42.15,0.5462
679,49.73,0.4610
680,43.98,0.4355
681,38.72,0.3623
682,33.73,0.4803
683,37.66,0.6593
684,34.02,0.6509
685,59.20,0.4043
686,47.61,0.3901
687,38.99,0.4270
688,39.45,0.4531
689,37.77,0.3574
690,51.00,0.3396
691,46.10,0.0000
692,54.63,0.0000
693,49.36,0.3212
694,49.93,0.3277
695,36.54,0.3695
696,51.35,0.3672
697,62.79,0.3304
698,55.09,0.3434
699,38.01,0.4056
700,41.98,0.5669
701,155.94,0.4569
702,60.33,0.4294
703,70.30,0.5228
704,110.28,0.5401
705,56.04,0.5923
706,59.22,0.4874
707,55.90,0.4682
708,51.68,0.5184
709,54.37,0.5581
710,52.08,0.5686
711,51.62,0.6152
712,50.83,0.5488
713,55.77,0.5984
714,50.70,0.5199
715,42.52,0.5284
716,46.10,0.5239
717,53.50,0.6194
718,39.85,0.5499
719,45.03,0.5743
720,34.96,0.4937
721,43.07,0.4482
722,37.05,0.4204
723,42.05,0.4714
724,32.50,0.6088
725,26.04,0.4584
726,35.14,0.6073
727,44.69,0.5120
728,41.22,0.5074
729,39.44,0.5507
730,40.47,0.7146
731,29.28,0.4712
732,37.32,0.4845
733,50.11,0.4930
734,41.88,0.4901
735,33.62,0.7302
736,32.49,0.5350
737,31.96,0.4916
738,34.72,0.5226
739,36.62,0.6789
740,42.41,0.6812
741,42.69,0.5195
742,41.93,0.4293
743,33.72,0.0000
744,43.01,0.0000
745,36.56,0.0000
746,51.47,0.0000
747,34.23,0.0000
748,36.47,0.0000
749,34.87,0.0000
750,42.41,0.0000
751,42.98,0.0000
752,34.92,0.0000
753,37.01,0.0000
754,38.24,0.0000
755,38.14,0.0000
756,53.99,0.0000
757,40.24,0.0000
758,37.03,0.0000
759,55.47,0.0000
760,54.06,0.0000
761,38.14,0.0000
762,40.03,0.4224
763,59.45,0.7597
764,32.36,0.7602
765,42.67,0.7570
766,41.14,0.5667
767,29.96,0.6217
768,31.70,0.6399
769,45.46,0.6086
770,43.72,0.5961
771,36.54,0.5315
772,45.22,0.5462
773,34.39,0.5881
774,39.61,0.5788
775,35.03,0.5839
776,35.56,0.5652
777,27.58,0.5612
778,38.53,0.4258
779,46.26,0.5223
780,45.02,0.5009
781,58.68,0.5053
782,36.98,0.5126
783,41.92,0.5482
784,35.01,0.4995
785,35.51,0.4829
786,39.61,0.4584
787,44.37,0.4873
788,37.66,0.4867
789,38.73,0.5679
790,36.34,0.5016
791,51.81,0.5116
792,42.36,0.4075
793,33.53,0.4986
794,42.83,0.5011
795,52.01,0.4959
796,50.73,0.4663
797,49.36,0.6167
798,39.75,0.4870
799,43.17,0.5119
800,55.00,0.6018
801,64.16,0.5847
802,34.77,0.5169
803,35.80,0.6796
804,38.49,0.6132
805,42.09,0.4895
806,42.49,0.4899
807,41.67,0.7282
808,59.08,0.5880
809,50.56,0.6638
810,42.42,0.5408
811,47.18,0.6064
812,44.61,0.6094
813,29.68,0.7104
814,37.38,0.7080
815,31.17,0.6999
816,34.23,0.4428
817,49.13,0.3906
818,38.48,0.3764
819,30.29,0.4297
820,33.67,0.4254
821,55.16,0.4348
822,50.35,0.6246
823,36.11,0.4145
824,51.62,0.5010
825,49.26,0.5119
826,34.71,0.4504
827,36.49,0.4316
828,41.25,0.6048
829,48.15,0.5669
830,29.56,0.5080
