Frame,Tempo_Inferenza_ms,Confidenza_Media
1,27.99,0.0000
2,29.85,0.5426
3,29.90,0.7565
4,30.39,0.9399
5,26.52,0.9123
6,28.08,0.9313
7,28.56,0.9228
8,26.49,0.9385
9,27.86,0.9469
10,28.78,0.9434
11,28.41,0.9431
12,28.80,0.9452
13,27.61,0.9423
14,28.46,0.9341
15,26.93,0.9380
16,27.51,0.9404
17,28.12,0.9408
18,26.29,0.7459
19,25.18,0.7460
20,26.14,0.7381
21,26.24,0.7942
22,25.34,0.7666
23,26.22,0.7332
24,25.27,0.9486
25,25.75,0.9527
26,26.02,0.7465
27,26.31,0.7767
28,25.47,0.7575
29,25.97,0.7944
30,25.29,0.7607
31,25.82,0.7558
32,28.11,0.7592
33,25.26,0.7584
34,31.99,0.7598
35,28.51,0.7604
36,26.18,0.7706
37,26.43,0.7713
38,26.13,0.7662
39,26.00,0.7654
40,25.62,0.7650
41,25.48,0.7653
42,26.73,0.7630
43,26.63,0.7636
44,28.85,0.7646
45,25.64,0.7642
46,25.56,0.7630
47,24.78,0.7600
48,24.88,0.7597
49,25.20,0.7603
50,25.29,0.7596
51,27.96,0.7603
52,26.63,0.7599
53,25.22,0.7597
54,25.70,0.7583
55,25.18,0.7592
56,27.12,0.7588
57,25.61,0.7586
58,25.79,0.7585
59,29.47,0.7592
60,25.27,0.7586
61,28.54,0.7607
62,28.78,0.7327
63,30.20,0.7860
64,31.03,0.9527
65,27.91,0.7758
66,28.33,0.9495
67,25.95,0.7755
68,26.12,0.7985
69,26.64,0.8162
70,24.52,0.7515
71,27.07,0.9428
72,26.15,0.9354
73,24.31,0.8592
74,27.79,0.5933
75,31.84,0.0000
76,24.54,0.0000
77,25.89,0.0000
78,24.57,0.6443
79,27.58,0.6562
80,30.60,0.7046
81,30.03,0.7318
82,25.92,0.7214
83,31.92,0.7483
84,31.10,0.6998
85,31.73,0.7484
86,26.31,0.7573
87,29.31,0.6861
88,24.88,0.6902
89,26.56,0.7014
90,24.84,0.6745
91,32.74,0.6457
92,24.64,0.6724
93,26.82,0.6512
94,24.60,0.6879
95,27.49,0.6503
96,25.57,0.6744
97,31.06,0.6639
98,29.64,0.6343
99,26.33,0.6543
100,33.44,0.6863
101,30.85,0.6760
102,27.17,0.6968
103,28.22,0.7263
104,28.61,0.7158
105,28.94,0.7366
106,28.59,0.7180
107,25.09,0.6991
108,30.74,0.6695
109,26.23,0.6697
110,24.53,0.6492
111,30.61,0.6793
112,31.20,0.6844
113,25.15,0.6833
114,29.56,0.7189
115,30.45,0.7108
116,27.32,0.6902
117,31.00,0.6963
118,31.20,0.7130
119,24.87,0.7235
120,24.88,0.7778
121,25.09,0.7166
122,33.24,0.7899
123,26.02,0.7238
124,29.87,0.7684
125,31.46,0.7329
126,30.98,0.7548
127,26.60,0.6832
128,30.89,0.7242
129,31.74,0.7730
130,26.52,0.7748
131,29.87,0.8363
132,25.76,0.7444
133,30.78,0.7668
134,25.35,0.7880
135,27.31,0.7119
136,30.00,0.7663
137,25.98,0.6293
138,29.55,0.6697
139,28.43,0.6424
140,31.27,0.6563
141,27.61,0.6723
142,36.21,0.7790
143,56.89,0.7578
144,61.90,0.7172
145,34.90,0.7181
146,56.87,0.7107
147,60.09,0.7804
148,73.08,0.7716
149,60.08,0.7376
150,30.81,0.6941
151,64.13,0.7084
152,52.75,0.7275
153,61.05,0.7237
154,65.78,0.7679
155,76.89,0.7677
156,54.08,0.7836
157,45.79,0.8218
158,54.80,0.7708
159,59.77,0.7473
160,78.54,0.7299
161,39.44,0.6787
162,53.86,0.7187
163,52.62,0.7022
164,36.23,0.7256
165,74.61,0.6895
166,60.79,0.6940
167,66.52,0.6601
168,72.63,0.7353
169,61.27,0.7497
170,76.06,0.7479
