Frame,Tempo_Inferenza_ms,Confidenza_Media
1,99.76,0.0000
2,55.94,0.0000
3,56.11,0.0000
4,50.42,0.0000
5,55.78,0.0000
6,49.54,0.0000
7,57.05,0.0000
8,49.12,0.0000
9,51.91,0.0000
10,55.52,0.0000
11,56.64,0.0000
12,51.08,0.5380
13,50.44,0.5266
14,51.88,0.0000
15,48.52,0.5011
16,47.53,0.6488
17,47.01,0.0000
18,48.35,0.0000
19,46.78,0.5522
20,46.03,0.5814
21,46.12,0.0000
22,47.62,0.0000
23,50.81,0.6038
24,44.67,0.0000
25,47.96,0.0000
26,46.41,0.0000
27,43.08,0.0000
28,52.17,0.5405
29,43.88,0.0000
30,42.52,0.0000
31,54.39,0.0000
32,43.49,0.7135
33,41.99,0.0000
34,47.24,0.5155
35,45.57,0.0000
36,49.02,0.5111
37,49.54,0.5299
38,44.09,0.0000
39,43.40,0.5729
40,44.07,0.0000
41,45.40,0.5084
42,43.60,0.0000
43,45.91,0.5955
44,41.33,0.0000
45,38.30,0.0000
46,44.78,0.0000
47,40.57,0.6620
48,44.49,0.8419
49,41.61,0.0000
50,35.10,0.0000
51,33.66,0.0000
52,33.22,0.0000
53,39.25,0.0000
54,46.74,0.5771
55,47.20,0.0000
56,52.51,0.5387
57,35.41,0.0000
58,42.90,0.0000
59,39.64,0.5226
60,41.73,0.0000
61,40.60,0.5354
62,41.89,0.0000
63,38.93,0.6423
64,37.22,0.5754
65,37.22,0.5223
66,37.82,0.6294
67,44.32,0.7007
68,46.77,0.0000
69,44.72,0.6291
70,37.66,0.5620
71,54.24,0.5571
72,66.12,0.5553
73,44.90,0.5355
74,38.32,0.5561
75,37.60,0.5950
76,37.78,0.0000
77,38.56,0.5426
78,35.12,0.5525
79,34.85,0.6614
80,44.00,0.6197
81,35.50,0.6707
82,48.17,0.5371
83,45.08,0.0000
84,47.92,0.0000
85,47.46,0.0000
86,52.81,0.0000
87,49.64,0.0000
88,38.97,0.0000
89,38.89,0.5542
90,39.75,0.5445
91,40.54,0.6508
92,55.70,0.0000
93,42.69,0.0000
94,48.85,0.0000
95,44.93,0.0000
96,37.44,0.0000
97,40.82,0.5121
98,39.81,0.0000
99,37.33,0.0000
100,49.43,0.0000
101,66.04,0.8249
102,43.99,0.0000
103,41.28,0.0000
104,50.23,0.0000
105,47.80,0.0000
106,48.09,0.0000
107,37.74,0.0000
108,40.21,0.0000
109,46.15,0.5095
110,41.97,0.0000
111,49.99,0.5238
112,51.71,0.0000
113,52.38,0.5044
114,42.90,0.5400
115,38.13,0.5346
116,35.79,0.0000
117,35.38,0.6115
118,44.74,0.5639
119,47.95,0.7194
120,58.35,0.5819
121,50.16,0.5802
122,51.57,0.0000
123,49.36,0.0000
124,37.56,0.6127
125,52.40,0.0000
126,40.37,0.0000
127,40.44,0.6199
128,38.00,0.5488
129,40.49,0.0000
130,51.97,0.5013
131,48.71,0.0000
132,47.78,0.0000
133,47.72,0.0000
134,42.89,0.0000
135,34.19,0.0000
136,45.88,0.0000
137,36.02,0.0000
138,60.59,0.0000
139,50.22,0.0000
140,48.08,0.0000
141,37.39,0.0000
142,42.63,0.0000
143,38.75,0.0000
144,40.17,0.0000
145,39.26,0.5833
146,51.83,0.6032
147,47.73,0.5635
148,50.06,0.6096
149,45.90,0.5805
150,48.89,0.5666
151,47.29,0.5653
152,50.02,0.5208
153,37.25,0.7463
154,37.13,0.6548
155,52.00,0.6782
156,36.61,0.6788
157,44.92,0.5241
158,57.83,0.6020
159,46.91,0.5908
160,36.89,0.6967
161,38.62,0.7164
162,44.21,0.7109
163,38.93,0.7279
164,39.00,0.6587
165,58.02,0.6964
166,50.88,0.6332
167,54.10,0.5755
168,52.92,0.5312
169,48.74,0.5783
170,42.88,0.5676
171,42.68,0.5886
172,31.55,0.0000
173,60.35,0.6305
174,34.18,0.0000
175,37.81,0.0000
176,43.26,0.0000
177,35.04,0.0000
178,37.20,0.0000
179,60.49,0.0000
180,45.81,0.0000
181,51.24,0.0000
182,49.36,0.0000
183,42.30,0.6688
184,39.91,0.0000
185,36.12,0.6874
186,53.34,0.9563
187,51.00,0.9593
188,49.68,0.9497
189,45.19,0.9357
190,37.57,0.9529
191,37.96,0.9547
192,39.50,0.9540
193,37.85,0.9631
194,53.77,0.9560
195,53.25,0.9483
196,42.47,0.9574
197,44.32,0.9544
198,41.25,0.9606
199,34.97,0.9570
200,36.99,0.9587
201,52.96,0.9642
202,58.21,0.9568
203,45.52,0.9587
204,47.73,0.9533
205,37.61,0.9584
206,39.66,0.9582
207,36.65,0.9512
208,38.08,0.9491
209,46.72,0.9492
210,47.33,0.9430
211,52.56,0.9130
212,48.17,0.9141
213,43.72,0.9285
214,42.85,0.9283
215,39.89,0.9372
216,36.83,0.9359
217,50.26,0.9258
218,45.60,0.9396
219,34.60,0.7073
