Frame,Tempo_Inferenza_ms,Confidenza_Media
289,38.14,0.0000
290,43.03,0.0000
291,38.41,0.0000
292,31.28,0.0000
293,41.33,0.0000
294,35.03,0.0000
295,35.37,0.0000
296,41.60,0.0000
297,35.23,0.0000
298,49.41,0.0000
299,37.03,0.0000
300,34.88,0.0000
301,46.70,0.0000
302,35.95,0.0000
303,35.64,0.0000
304,35.06,0.5002
305,41.58,0.5117
306,46.13,0.0000
307,40.86,0.0000
308,36.38,0.0000
309,39.68,0.0000
310,39.99,0.0000
311,40.15,0.0000
312,37.25,0.0000
313,38.87,0.0000
314,42.96,0.0000
315,40.01,0.0000
316,38.25,0.0000
317,33.12,0.0000
318,35.00,0.0000
319,36.33,0.0000
320,36.56,0.0000
321,39.11,0.0000
322,41.84,0.0000
323,41.99,0.0000
324,49.11,0.0000
325,36.15,0.0000
326,35.23,0.0000
327,41.35,0.0000
328,39.16,0.6101
329,45.99,0.0000
330,40.59,0.0000
331,37.93,0.0000
332,38.07,0.0000
333,35.79,0.0000
334,35.02,0.0000
335,40.40,0.0000
336,36.27,0.0000
337,38.54,0.0000
338,35.49,0.0000
339,35.35,0.0000
340,42.02,0.0000
341,35.14,0.0000
342,37.88,0.0000
343,40.87,0.0000
344,35.07,0.0000
345,44.23,0.0000
346,49.61,0.0000
347,42.04,0.0000
348,38.78,0.0000
349,37.21,0.0000
350,38.90,0.0000
351,37.85,0.0000
352,47.21,0.5023
353,41.55,0.0000
354,36.01,0.0000
355,46.24,0.0000
356,37.86,0.0000
357,32.34,0.0000
358,45.57,0.0000
359,37.02,0.0000
360,36.53,0.0000
361,44.54,0.0000
362,39.98,0.0000
363,42.21,0.0000
364,41.07,0.0000
365,46.99,0.0000
366,38.17,0.0000
367,39.43,0.0000
368,37.37,0.0000
369,46.45,0.0000
370,36.67,0.0000
371,52.60,0.0000
372,35.58,0.0000
373,36.70,0.0000
374,40.37,0.0000
375,37.00,0.0000
376,37.78,0.0000
377,32.90,0.0000
378,36.04,0.0000
379,37.30,0.0000
380,35.88,0.0000
381,40.06,0.0000
382,36.56,0.0000
383,38.49,0.0000
384,37.75,0.0000
385,38.41,0.0000
386,40.95,0.0000
387,41.36,0.0000
388,43.46,0.0000
389,36.12,0.0000
390,33.98,0.0000
