Frame,Tempo_Inferenza_ms,Confidenza_Media
1,40.11,0.0000
2,15.56,0.8644
3,14.59,0.9444
4,18.01,0.9597
5,16.97,0.9439
6,15.86,0.9450
7,14.89,0.9427
8,13.91,0.9443
9,16.50,0.9521
10,15.12,0.9381
11,15.68,0.9546
12,15.46,0.9492
13,15.43,0.9490
14,13.87,0.9518
15,13.90,0.9514
16,13.54,0.9556
17,16.43,0.9545
18,16.72,0.9501
19,12.18,0.9533
20,14.60,0.9556
21,12.24,0.9508
22,12.20,0.9517
23,13.05,0.9506
24,12.25,0.9520
25,12.56,0.9557
26,13.89,0.9586
27,14.10,0.9574
28,12.69,0.9576
29,12.28,0.8816
30,13.08,0.9522
31,12.26,0.9520
32,12.54,0.9508
33,12.34,0.9498
34,12.52,0.9499
35,13.67,0.9495
36,15.86,0.9498
37,14.01,0.9494
38,14.01,0.9492
39,14.18,0.9492
40,13.82,0.9493
41,12.28,0.9491
42,12.46,0.9490
43,12.94,0.9490
44,12.90,0.9490
45,12.32,0.9494
46,13.83,0.9497
47,13.33,0.9497
48,14.07,0.9500
49,12.88,0.9506
50,13.96,0.9510
51,13.56,0.9511
52,13.97,0.9510
53,13.81,0.9512
54,12.42,0.9514
55,13.95,0.9508
56,13.83,0.9507
57,13.07,0.9510
58,13.77,0.9507
59,13.92,0.9509
60,13.25,0.9511
61,13.77,0.9509
62,13.81,0.9512
63,13.97,0.9502
64,13.99,0.9494
65,13.94,0.9557
66,13.79,0.9591
67,12.95,0.9570
68,12.65,0.9657
69,13.24,0.9554
70,13.52,0.9550
71,12.32,0.9553
72,15.07,0.9584
73,15.25,0.9225
74,13.46,0.9316
75,15.14,0.4370
76,12.39,0.0000
77,12.20,0.4947
78,12.84,0.6586
79,13.98,0.4560
80,12.35,0.5577
81,13.90,0.5624
82,12.24,0.6692
83,12.25,0.5079
84,13.43,0.5537
85,12.21,0.5420
86,12.34,0.5124
87,12.77,0.5571
88,12.82,0.6420
89,12.51,0.5224
90,13.88,0.6530
91,13.93,0.5054
92,13.78,0.5776
93,13.90,0.5616
94,13.13,0.4896
95,12.70,0.5315
96,12.37,0.5136
97,12.23,0.5345
98,12.93,0.7828
99,12.23,0.6400
100,12.28,0.6572
101,12.47,0.6421
102,13.62,0.6340
103,16.35,0.6479
104,15.10,0.6062
105,12.99,0.5479
106,14.44,0.6403
107,12.24,0.6249
108,12.80,0.6273
109,15.06,0.5414
110,12.39,0.6266
111,12.18,0.6219
112,12.34,0.5772
113,12.28,0.5391
114,14.94,0.6000
115,12.51,0.6010
116,12.21,0.5210
117,15.69,0.5917
118,12.40,0.5896
119,14.62,0.6463
120,13.02,0.7661
121,12.83,0.6946
122,12.51,0.7424
123,13.25,0.6663
124,12.24,0.7465
125,16.54,0.6232
126,12.90,0.5385
127,13.36,0.7140
128,12.18,0.7346
129,12.68,0.7257
130,13.12,0.6888
131,16.67,0.7300
132,12.34,0.5902
133,12.70,0.6476
134,12.39,0.6033
135,16.01,0.6349
136,12.88,0.6964
137,15.92,0.6324
138,12.54,0.5220
139,15.67,0.6126
140,16.88,0.5688
141,14.90,0.6162
142,17.36,0.7128
143,12.34,0.7557
144,16.11,0.7289
145,16.69,0.6961
146,15.57,0.6543
147,12.31,0.6812
148,16.27,0.7400
149,13.77,0.7552
150,15.80,0.7351
151,13.15,0.7312
152,12.19,0.7715
153,12.41,0.8241
154,14.61,0.6224
155,12.31,0.7627
156,12.53,0.7415
157,14.92,0.7078
158,12.40,0.6371
159,15.99,0.5969
160,14.07,0.6702
161,12.64,0.6742
162,16.68,0.6344
163,13.58,0.6398
164,16.50,0.5716
165,16.46,0.6291
166,16.38,0.5745
167,12.27,0.5955
168,12.27,0.6985
169,16.57,0.6869
170,16.31,0.6592
171,14.46,0.6388
172,14.53,0.6489
173,12.25,0.5915
174,15.28,0.5811
175,15.72,0.6392
176,12.38,0.5638
177,14.85,0.4868
178,15.52,0.5799
179,13.75,0.5207
180,12.43,0.5445
181,15.44,0.5158
182,12.42,0.4790
183,12.23,0.5608
184,12.15,0.5453
185,13.10,0.6183
186,12.22,0.5843
187,12.67,0.6550
188,12.31,0.6621
189,13.09,0.6286
190,12.35,0.5732
191,13.67,0.6871
192,12.20,0.5768
193,12.28,0.5523
194,12.33,0.5494
195,13.10,0.5837
196,12.61,0.5017
197,13.92,0.6147
198,12.31,0.6140
199,12.25,0.5209
200,13.58,0.6329
201,12.28,0.5976
202,12.52,0.5673
203,13.93,0.5673
204,13.14,0.4264
205,12.36,0.5157
206,15.31,0.6007
207,12.15,0.5761
208,13.91,0.5470
209,13.98,0.5352
210,12.71,0.5157
211,12.12,0.5963
212,12.84,0.5765
213,13.28,0.5955
214,15.72,0.5738
215,13.27,0.5456
216,12.33,0.5692
217,13.28,0.4787
218,12.83,0.5506
219,12.51,0.6518
220,13.00,0.6411
221,12.20,0.5452
222,12.68,0.6051
223,12.14,0.6047
224,13.59,0.5326
225,12.45,0.5775
226,12.22,0.6176
227,13.25,0.5445
228,12.18,0.4968
229,12.31,0.5391
230,13.80,0.5104
231,12.50,0.5082
232,12.25,0.5348
233,12.42,0.4794
234,12.68,0.5016
235,12.28,0.4884
236,13.73,0.5428
237,13.92,0.6251
238,13.77,0.5217
239,13.01,0.5245
240,12.23,0.5086
241,12.37,0.5279
242,12.90,0.5560
243,12.61,0.5808
244,12.68,0.5117
245,12.42,0.4806
246,14.03,0.4515
247,12.43,0.5453
248,13.71,0.5712
249,12.50,0.6161
250,16.04,0.5134
251,14.42,0.5904
252,12.96,0.5040
253,12.81,0.4773
254,13.75,0.3860
255,12.65,0.4307
256,13.11,0.0000
257,13.51,0.3983
258,12.61,0.0000
259,13.59,0.0000
260,13.73,0.0000
261,12.33,0.5084
262,12.42,0.5143
263,12.77,0.3302
264,12.20,0.0000
265,12.25,0.0000
266,13.53,0.3844
267,13.51,0.0000
268,12.20,0.3799
269,12.67,0.6156
270,12.39,0.8601
271,13.72,0.8227
272,13.72,0.6222
273,13.78,0.3759
274,13.83,0.7213
275,13.86,0.0000
276,13.87,0.4045
277,12.20,0.3534
278,13.71,0.3167
279,12.18,0.4208
280,12.30,0.4076
281,12.55,0.5562
282,13.33,0.6464
283,13.16,0.6999
284,12.80,0.6358
285,12.60,0.5996
286,12.73,0.7071
287,13.10,0.6577
288,12.60,0.5688
289,12.28,0.7305
290,13.52,0.5323
291,12.30,0.6520
292,14.08,0.6923
293,12.79,0.6337
294,13.13,0.5027
295,13.79,0.5127
296,13.74,0.6255
297,12.77,0.6463
298,12.81,0.6624
299,14.44,0.6239
300,12.73,0.6613
301,12.96,0.0000
302,12.56,0.4164
